[22:37:04.212919 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Restroom C  - Story ground Wall 1', and 'SuperMarket Elec/MechRoom C  - Story ground Wall 4'
[22:37:04.213363 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket DryStorage B  - Story ground Wall 1', and 'SuperMarket Deli B  - Story ground Wall 4'
[22:37:04.213750 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce C  - Story ground Wall 3', and 'SuperMarket Produce B  - Story ground Wall 2'
[22:37:04.214123 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Restroom A  - Story ground Wall 2', and 'SuperMarket Restroom B  - Story ground Wall 3'
[22:37:04.214514 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket DryStorage B  - Story ground Wall 2', and 'SuperMarket DryStorage C  - Story ground Wall 3'
[22:37:04.214914 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket DryStorage B  - Story ground Wall 4', and 'SuperMarket Produce B  - Story ground Wall 1'
[22:37:04.215323 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Elec/MechRoom C  - Story ground Wall 1', and 'SuperMarket Corridor C  - Story ground Wall 2'
[22:37:04.215717 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce A  - Story ground Wall 1', and 'SuperMarket DryStorage A  - Story ground Wall 4'
[22:37:04.216169 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce A  - Story ground Wall 4', and 'SuperMarket Produce A end_b - Story ground Wall 1'
[22:37:04.216582 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce B  - Story ground Wall 4', and 'SuperMarket Produce B end_b - Story ground Wall 1'
[22:37:04.216966 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Elec/MechRoom C  - Story ground Wall 3', and 'SuperMarket Elec/MechRoom B  - Story ground Wall 2'
[22:37:04.217530 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket DryStorage B  - Story ground Wall 3', and 'SuperMarket DryStorage A  - Story ground Wall 2'
[22:37:04.218360 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Bakery A  - Story ground Wall 1', and 'SuperMarket Restroom A  - Story ground Wall 4'
[22:37:04.219098 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Deli B  - Story ground Wall 3', and 'SuperMarket Deli A  - Story ground Wall 2'
[22:37:04.219790 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce C  - Story ground Wall 1', and 'SuperMarket DryStorage C  - Story ground Wall 4'
[22:37:04.220439 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales B  - Story ground Wall 1', and 'SuperMarket Sales B end_a - Story ground Wall 1'
[22:37:04.221212 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce B end_b - Story ground Wall 3', and 'SuperMarket Produce A end_b - Story ground Wall 2'
[22:37:04.221841 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce C end_b - Story ground Wall 4', and 'SuperMarket Produce C  - Story ground Wall 4'
[22:37:04.222286 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Vestibule B  - Story ground Wall 3', and 'SuperMarket Vestibule A  - Story ground Wall 2'
[22:37:04.222676 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Elec/MechRoom A  - Story ground Wall 4', and 'SuperMarket Restroom A  - Story ground Wall 1'
[22:37:04.223064 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Deli C  - Story ground Wall 1', and 'SuperMarket Bakery C  - Story ground Wall 4'
[22:37:04.223492 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Bakery B  - Story ground Wall 3', and 'SuperMarket Bakery A  - Story ground Wall 2'
[22:37:04.223924 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales B  - Story ground Wall 4', and 'SuperMarket Office B  - Story ground Wall 1'
[22:37:04.224333 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce A  - Story ground Wall 2', and 'SuperMarket Produce B  - Story ground Wall 3'
[22:37:04.224800 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Meeting A  - Story ground Wall 4', and 'SuperMarket Corridor A  - Story ground Wall 1'
[22:37:04.225232 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Dining C  - Story ground Wall 1', and 'SuperMarket Vestibule C  - Story ground Wall 4'
[22:37:04.225614 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Bakery B  - Story ground Wall 1', and 'SuperMarket Restroom B  - Story ground Wall 4'
[22:37:04.225992 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Deli A  - Story ground Wall 1', and 'SuperMarket Bakery A  - Story ground Wall 4'
[22:37:04.226357 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Bakery C  - Story ground Wall 3', and 'SuperMarket Bakery B  - Story ground Wall 2'
[22:37:04.226723 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Meeting B  - Story ground Wall 3', and 'SuperMarket Meeting A  - Story ground Wall 2'
[22:37:04.227143 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Restroom C  - Story ground Wall 3', and 'SuperMarket Restroom B  - Story ground Wall 2'
[22:37:04.227519 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce B end_b - Story ground Wall 2', and 'SuperMarket Produce C end_b - Story ground Wall 1'
[22:37:04.227910 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Restroom C  - Story ground Wall 4', and 'SuperMarket Bakery C  - Story ground Wall 1'
[22:37:04.228350 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Restroom B  - Story ground Wall 1', and 'SuperMarket Elec/MechRoom B  - Story ground Wall 4'
[22:37:04.228744 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Elec/MechRoom B  - Story ground Wall 3', and 'SuperMarket Elec/MechRoom A  - Story ground Wall 2'
